pair,cat,score,null_mean,null_max,n_combo,p,rank,best_send,best_recv,fdr
CD86(Macr)→CTLA4(T ce),Checkpoint,0.9881668295220312,0.586794257301726,0.9881668295220312,49,0.02040816326530612,1,Macrophage,T cell,0.08035714285714286
VEGFA(Macr)→FLT1(Endo),Angiogenesis,0.9791604341268219,0.6323639075297992,0.9831897477163536,56,0.03571428571428571,2,Mast,Endothelial,0.08035714285714286
CCL5(T ce)→CCR5(Macr),T-recruit,0.9778712083726734,0.6422549786000186,0.9858785675981648,64,0.03125,2,T cell,T cell,0.08035714285714286
CXCL9(Macr)→CXCR3(T ce),T-recruit,0.9613714015303616,0.6057580562805219,0.9726170568561873,56,0.03571428571428571,2,Macrophage,Dendritic,0.08035714285714286
TGFB1(Fibr)→TGFBR2(T ce),Exclusion/CAF,0.9413705718603755,0.9080665576864331,0.9907752941405719,64,0.359375,23,T cell,Endothelial,0.380514705882353
CXCL12(Fibr)→CXCR4(T ce),Exclusion/CAF,0.9310957143129337,0.6149088850574475,0.9416332629326349,48,0.10416666666666667,5,Endothelial,Dendritic,0.15625000000000003
CD274(Macr)→PDCD1(T ce),Checkpoint,0.9309112152118921,0.6118779291513468,0.9309112152118921,56,0.017857142857142856,1,Macrophage,T cell,0.08035714285714286
VEGFA(Mali)→KDR(Endo),Angiogenesis,0.9300461599871521,0.5109602472880476,0.958198830604193,64,0.0625,4,Mast,Endothelial,0.11249999999999999
CXCL10(Macr)→CXCR3(T ce),T-recruit,0.9236375411878055,0.5966272802634321,0.9348831965136313,56,0.03571428571428571,2,Macrophage,Dendritic,0.08035714285714286
PDCD1LG2(Macr)→PDCD1(T ce),Checkpoint,0.8522287382685456,0.5484471387055558,0.8522287382685456,56,0.017857142857142856,1,Macrophage,T cell,0.08035714285714286
CSF1(Mali)→CSF1R(Macr),Myeloid-recruit,0.8085688026279119,0.6352142388361623,0.992628220443595,64,0.203125,13,Mast,Macrophage,0.26239067055393583
CCL2(Fibr)→CCR2(Macr),Myeloid-recruit,0.7699951881291145,0.4764255079393289,0.8638078971592149,64,0.078125,5,Fibroblast,Dendritic,0.1278409090909091
LGALS9(Mali)→HAVCR2(T ce),Checkpoint,0.7532433991025786,0.7425587642612058,0.9614756258234519,64,0.46875,30,Macrophage,Macrophage,0.46875
CXCL11(Mali)→CXCR3(T ce),T-recruit,0.7387252047362299,0.540867977518427,0.8411809567244349,49,0.20408163265306123,10,Macrophage,Dendritic,0.26239067055393583
CD274(Mali)→PDCD1(T ce),Checkpoint,0.7303990313571793,0.6118779291513468,0.9309112152118921,56,0.26785714285714285,15,Macrophage,T cell,0.3214285714285714
CXCL12(Fibr)→CXCR4(Mali),Exclusion/CAF,0.7207444523260046,0.6149088850574475,0.9416332629326349,48,0.2916666666666667,14,Endothelial,Dendritic,0.32812500000000006
CXCL13(Fibr)→CXCR5(B ce),B/TLS,0.6879481835187817,0.35349169313424367,0.6879481835187817,49,0.02040816326530612,1,Fibroblast,B cell,0.08035714285714286
CXCL13(T ce)→CXCR5(B ce),B/TLS,0.6816453532442164,0.35349169313424367,0.6879481835187817,49,0.04081632653061224,2,Fibroblast,B cell,0.08163265306122448
