,Malignant,B cell,Dendritic,Endothelial,Fibroblast,Macrophage,Mast,T cell
A1BG,0.25961266230807506,0.12925093073251442,0.18523835335708724,0.20668205578585055,0.08289557008557413,0.14734125858313082,0.07532546913138276,0.09391247425383759
A1BG-AS1,0.26449867213564027,0.11768973694369168,0.07313609357941875,0.2251567141187295,0.07247212351172982,0.05421932130917821,0.10934351954347399,0.15566262297654065
A2M,0.14779160984882939,0.22123690330444024,0.13298418589210384,0.19965341715772847,0.19819047887744287,0.02922723360373025,0.08747931637690139,0.24765462054416498
A2M-AS1,0.30401690752439026,0.2915449778854415,0.016993324442135846,0.1910346774542179,0.18841470484023967,0.19586769920719252,0.15619399678633894,0.26085574936128647
A2ML1,0.29916291773221687,0.1236947353575174,0.10939908853683546,0.24751579632971132,0.18869575113056403,0.12234453434502021,0.3538822530117384,0.2790733150716413
AAAS,0.2989593100927218,0.24408082876634413,0.14876736228776244,0.2974783315293367,0.29644656626796,0.11197529787731024,0.08247938158922005,0.2603756152085828
AACS,0.2387120213711127,0.21425886957957505,0.18681026095987596,0.2404375548828017,0.2405644308813981,0.155681946981053,0.08814679130388542,0.21952984290763541
AAGAB,0.27266475866573453,0.18827713441053143,0.10118894737892624,0.27374855536169235,0.2749004912183555,0.131209253742549,0.10672523732811515,0.22048417584080665
AAK1,0.19145195520515285,0.24807221014666242,0.179181365399959,0.19005973728006337,0.18781582612369271,0.1190929373452415,0.028932161477393633,0.06824164639619794
AAMDC,0.2711444789160117,0.1623247363242077,0.14838910609670505,0.284945933765298,0.27103648327590485,0.05934559730493279,0.10503827462080313,0.28901981977320385
AAMP,0.2362677564732479,0.17854439655343549,0.08512176030726466,0.23581318387039732,0.23705525856716206,0.2179483298263775,0.07396546873978209,0.15865380331436665
AAR2,0.2946502893482342,0.23895013725156194,0.09634263789225408,0.2941741864936394,0.2951854314504225,0.17636068557343723,0.10942427483829477,0.2560888746956587
AARS1,0.22028742014729594,0.1848880357671903,0.11009280600418236,0.22107553412511177,0.2209051296755463,0.06957176827645954,0.09820322564327551,0.1452942969780664
AARS2,0.2573717082118115,0.2044970113964485,0.04270776046820411,0.25637653609184496,0.260602366837985,0.11518937465273181,0.12148872113250742,0.30209655994419193
AARSD1,0.30901529014269463,0.08665821275885878,0.08645122533202577,0.1909866798014858,0.2046563796715627,0.20364039316570676,0.09942341000980646,0.1502107072041885
AASDH,0.2917827313858229,0.21511355850245453,0.16371498984921856,0.2866573661234733,0.2958730452915879,0.18215014393328802,0.1562478813424843,0.2870334289637908
AASDHPPT,0.22028490940026788,0.22875512020267486,0.04240676189409187,0.2181266459538468,0.2177802070993595,0.1084167909708644,0.12593785652565628,0.312843523061277
AASS,0.21356584139141893,0.1776786109884144,0.14303506842241787,0.24296498997114702,0.2345044976038516,0.2711160614020658,0.08781490481931482,0.19902094468094794
AATF,0.24514699145589297,0.21088161532544236,0.09871845462320201,0.24286621828288202,0.246990810116959,0.15719810132298323,0.10244436913206528,0.19707888196610318
AATK,0.2333522442721478,0.21662404000899346,0.07230540765385594,0.23715803614771847,0.24319046036159486,0.04322838854292759,0.1365589826034131,0.2729037618975259
ABAT,0.2762959263524317,0.16874338871566166,0.11042834885218125,0.27734766510402487,0.28209911111984415,0.11468118888694391,0.09239771773839439,0.22670689812597222
ABCA1,0.2180267802718931,0.21020005619705914,0.09110236879797813,0.2193554195222256,0.22423561369427003,0.11383585738063187,0.06088834851957478,0.21451660614479973
ABCA12,0.3865096132260509,0.21092379565347932,0.4104093689862128,0.398149497448043,0.38634072060470576,0.02581422941061011,0.3725324163361226,0.28863622089636853
ABCA2,0.18137059781620846,0.20658814697224415,0.0886824734582287,0.16736020358502204,0.16710490507988993,0.08481518384618347,0.046060559764354865,0.1793087188739581
ABCA3,0.3830884323456534,0.2773975983101228,0.5102839694899549,0.3891506095152605,0.24225711199067868,0.0892644981307805,0.00941364973851978,0.2090527038908714
ABCA4,-0.03533089943435719,-0.11534565156280258,-0.06139835214379806,-0.048277629788925865,-0.06544806202697988,-0.09082537815967141,-0.044743962643055364,-0.03577076678511296
ABCA5,0.2217921902935577,0.2024400110955245,0.10086847987414686,0.2209488764702163,0.21624473387484125,0.1328536605408362,0.10098830804281235,0.2851488368032547
ABCA6,0.33338539445611576,0.23141294833648157,0.10916032225832831,0.2857521729296687,0.12608196746684527,0.009628430461423839,0.0892759073764861,0.3068964651403879
ABCA7,0.2570913860718164,0.23407330666107104,0.163196926669452,0.25338152412862397,0.26027316744568874,0.14169928275135318,0.12650959230943043,0.23634255813811725
ABCB1,0.4011119079618037,0.15272260909433663,0.23860545201497382,0.2254823414987918,0.3278770461345759,0.322787645831501,0.04885623740788384,0.25589912201228693
ABCB10,0.28076254727655947,0.11060332624246993,0.07249229278735936,0.2818373209254681,0.2774846646977978,0.036975941519358006,0.138983520615856,0.22884083817104545
ABCB7,0.2607459697980791,0.1787839925775869,0.13552630437283358,0.26035796409091644,0.2624758889633617,0.11920152829043444,0.13339871742602383,0.2182395263649415
ABCB8,0.30508041575385036,0.19088771867753757,0.08524573160216241,0.30700666892664336,0.30780603044418153,0.10859272611797481,0.07252163574193161,0.21300084867681165
ABCB9,0.3686419214943795,0.168251087381013,0.31613425117237254,0.3678726907959241,0.3262679162863526,0.10206878291218195,0.028019661358424902,0.25108944189686816
ABCC1,0.13483299732841159,0.1546206755687292,0.054056529570618336,0.1382483851655846,0.13814132764556122,0.1209651499270501,-0.0828766778615987,0.0675668395081398
ABCC10,0.2218164374508969,0.15925809958872164,0.06261864332534199,0.21911690061521794,0.2198071816910407,0.09562424556137916,0.09546859814819082,0.22329455597643652
ABCC11,0.18715597739645892,0.16139113663070115,-0.021928985553870493,0.16166650865147017,0.17227564618600738,0.20401908882469372,0.06775869049072902,0.20797387105759071
ABCC4,0.25019464924032747,0.19558455635298092,0.144076686755125,0.2406159690968586,0.24019737792874524,0.18528999785351835,0.10521778153982221,0.2536459204563134
