,Malignant,Endothelial,Fibroblast,Macrophage
DNA Metabolic Process (GO:0006259),0.2535212684467944,0.35682729932438073,0.381923020616652,0.0
DNA Repair (GO:0006281),0.2387136563816766,0.30069569441252475,0.28689331853107897,0.0
Spindle Assembly Checkpoint Signaling (GO:0071173),1.0,1.0,1.0,0.0
Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),1.0,1.0,1.0,0.0
Mitotic Spindle Checkpoint Signaling (GO:0071174),1.0,1.0,1.0,0.0
Double-Strand Break Repair Via Homologous Recombination (GO:0000724),0.3314494517127129,0.5011636023241273,0.5364981630432578,0.0
DNA Damage Response (GO:0006974),0.19370642386671014,0.2487876963156667,0.23828364109583533,0.0
DNA-templated DNA Replication (GO:0006261),0.35602133440893796,0.5773249179853821,0.7005570240560074,0.0
Keratinocyte Differentiation (GO:0030216),0.0,0.45089341745060824,0.5424122919334187,0.9652949323311926
Epidermis Development (GO:0008544),0.0,0.0,0.0,0.547194313286826
Epidermal Cell Differentiation (GO:0009913),0.0,0.33796243756955996,0.40367559321110413,0.7284558414315682
Skin Development (GO:0043588),0.0,0.0,0.3108053987111941,0.5661772050744183
Iron Ion Transport (GO:0006826),0.0,0.0,0.0,1.0
