,Malignant,Endothelial,Fibroblast,Macrophage
DNA Metabolic Process (GO:0006259),4.175757575757576,6.241925064599483,6.118781953203717,0.0
DNA Repair (GO:0006281),3.931860885595774,5.260023533301567,4.59631277813096,0.0
Spindle Assembly Checkpoint Signaling (GO:0071173),16.471034565819583,17.492846193152786,16.020982299847613,0.0
Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),16.471034565819583,17.492846193152786,16.020982299847613,0.0
Mitotic Spindle Checkpoint Signaling (GO:0071174),16.471034565819583,17.492846193152786,16.020982299847613,0.0
Double-Strand Break Repair Via Homologous Recombination (GO:0000724),5.459315375982043,8.766777813062347,8.595227574016793,0.0
DNA Damage Response (GO:0006974),3.190545203129882,4.352004906398761,3.817537996339619,0.0
DNA-templated DNA Replication (GO:0006261),5.86403970521883,10.099055993792836,11.223611682435212,0.0
Keratinocyte Differentiation (GO:0030216),0.0,7.887409200968523,8.689977728285077,28.55664174813111
Epidermis Development (GO:0008544),0.0,0.0,0.0,16.187831768068598
Epidermal Cell Differentiation (GO:0009913),0.0,5.911924939467313,6.467279533715585,21.55015197568389
Skin Development (GO:0043588),0.0,0.0,4.9794077914491215,16.749408983451538
Iron Ion Transport (GO:0006826),0.0,0.0,0.0,29.58333333333333
