cell,set,rank,term
Malignant,A 仅预测准,1,DNA Metabolic Process (GO:0006259)
Malignant,A 仅预测准,2,Positive Regulation Of Double-Strand Break Repair (GO:2000781)
Malignant,A 仅预测准,3,Positive Regulation Of DNA Recombination (GO:0045911)
Malignant,A 仅预测准,4,Defense Response To Symbiont (GO:0140546)
Malignant,A 仅预测准,5,Defense Response To Virus (GO:0051607)
Malignant,B 预测准+非共享,1,Protein Localization To Organelle (GO:0033365)
Malignant,B 预测准+非共享,2,Protein Localization To Endosome (GO:0036010)
Malignant,B 预测准+非共享,3,Regulation Of Protein Localization (GO:0032880)
Malignant,B 预测准+非共享,4,Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901028)
Malignant,B 预测准+非共享,5,Negative Regulation Of Mitochondrion Organization (GO:0010823)
Malignant,C 预测准+one-vs-rest特异,1,DNA Metabolic Process (GO:0006259)
Malignant,C 预测准+one-vs-rest特异,2,Epidermis Development (GO:0008544)
Malignant,C 预测准+one-vs-rest特异,3,DNA Repair (GO:0006281)
Malignant,C 预测准+one-vs-rest特异,4,DNA Damage Response (GO:0006974)
Malignant,C 预测准+one-vs-rest特异,5,Double-Strand Break Repair Via Homologous Recombination (GO:0000724)
Endothelial,A 仅预测准,1,DNA Metabolic Process (GO:0006259)
Endothelial,A 仅预测准,2,Cilium Organization (GO:0044782)
Endothelial,A 仅预测准,3,DNA Damage Response (GO:0006974)
Endothelial,A 仅预测准,4,Defense Response To Virus (GO:0051607)
Endothelial,A 仅预测准,5,Positive Regulation Of DNA Recombination (GO:0045911)
Endothelial,B 预测准+非共享,1,Protein Localization To Endosome (GO:0036010)
Endothelial,B 预测准+非共享,2,Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901028)
Endothelial,B 预测准+非共享,3,Protein Localization To Organelle (GO:0033365)
Endothelial,B 预测准+非共享,4,Negative Regulation Of Mitochondrion Organization (GO:0010823)
Endothelial,C 预测准+one-vs-rest特异,1,Regulation Of Transcription By RNA Polymerase II (GO:0006357)
Endothelial,C 预测准+one-vs-rest特异,2,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)
Endothelial,C 预测准+one-vs-rest特异,3,Negative Regulation Of DNA-templated Transcription (GO:0045892)
Endothelial,C 预测准+one-vs-rest特异,4,Positive Regulation Of Developmental Process (GO:0051094)
Endothelial,C 预测准+one-vs-rest特异,5,Positive Regulation Of Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0060213)
Fibroblast,A 仅预测准,1,DNA Metabolic Process (GO:0006259)
Fibroblast,A 仅预测准,2,Positive Regulation Of DNA Recombination (GO:0045911)
Fibroblast,A 仅预测准,3,Cilium Organization (GO:0044782)
Fibroblast,A 仅预测准,4,Positive Regulation Of Double-Strand Break Repair (GO:2000781)
Fibroblast,A 仅预测准,5,DNA Damage Response (GO:0006974)
Fibroblast,B 预测准+非共享,1,Protein Localization To Organelle (GO:0033365)
Fibroblast,B 预测准+非共享,2,Protein Localization To Endosome (GO:0036010)
Fibroblast,B 预测准+非共享,3,Regulation Of Protein Localization (GO:0032880)
Fibroblast,B 预测准+非共享,4,Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901028)
Fibroblast,B 预测准+非共享,5,Negative Regulation Of Mitochondrion Organization (GO:0010823)
Fibroblast,C 预测准+one-vs-rest特异,1,Toxin Transport (GO:1901998)
Macrophage,A 仅预测准,1,Defense Response To Symbiont (GO:0140546)
Macrophage,A 仅预测准,2,Peptide Cross-Linking (GO:0018149)
Macrophage,A 仅预测准,3,Keratinocyte Differentiation (GO:0030216)
Macrophage,A 仅预测准,4,Defense Response To Virus (GO:0051607)
Macrophage,A 仅预测准,5,Epidermis Development (GO:0008544)
Macrophage,C 预测准+one-vs-rest特异,1,Defense Response To Symbiont (GO:0140546)
Macrophage,C 预测准+one-vs-rest特异,2,Defense Response To Virus (GO:0051607)
Macrophage,C 预测准+one-vs-rest特异,3,Positive Regulation Of Defense Response (GO:0031349)
Macrophage,C 预测准+one-vs-rest特异,4,Cellular Response To Type II Interferon (GO:0071346)
Macrophage,C 预测准+one-vs-rest特异,5,Positive Regulation Of Response To External Stimulus (GO:0032103)
