,Malignant,Dendritic,Endothelial,Fibroblast,Macrophage,T cell
DNA Metabolic Process (GO:0006259),3.481983133145924,11.55110101174052,5.236892086330935,5.164262171070406,0.0,3.567385791466059
Myofibril Assembly (GO:0030239),8.158718078809404,10.354298642533935,9.2132800608828,9.7036969420356,12.977631578947369,0.0
DNA Unwinding Involved In DNA Replication (GO:0006268),15.762237762237762,19.140350877192983,22.06370875995449,25.212507237984944,0.0,0.0
Double-Strand Break Repair Via Homologous Recombination (GO:0000724),4.610093941717792,9.951598028303389,7.3955661063675,7.746926098474468,0.0,0.0
DNA Repair (GO:0006281),2.918600064757307,8.198107930035679,4.2093461025845365,3.7585237369890834,3.7754528722270657,0.0
DNA-templated DNA Replication (GO:0006261),5.572566232127839,24.469824627098543,10.107984592283085,10.182599255583126,0.0,0.0
Positive Regulation Of Cell Cycle Process (GO:0090068),3.640075724479394,13.790192307692308,6.033125,5.982413128044196,0.0,0.0
DNA Damage Response (GO:0006974),2.4299615877080667,6.421443619026499,3.533185020393029,2.9593592573725025,0.0,0.0
Double-Strand Break Repair Via Break-Induced Replication (GO:0000727),24.329053373615302,47.87280701754386,57.84241908006814,82.0773714891362,0.0,0.0
Spindle Assembly Checkpoint Signaling (GO:0071173),10.78133971291866,36.41876854599406,17.54660633484163,16.308917197452228,32.04938557848365,0.0
Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),10.78133971291866,36.41876854599406,17.54660633484163,16.308917197452228,32.04938557848365,0.0
Mitotic Spindle Checkpoint Signaling (GO:0071174),10.78133971291866,36.41876854599406,17.54660633484163,16.308917197452228,32.04938557848365,0.0
Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),9.753535353535352,37.81442577030813,15.697975708502025,14.59068052296346,28.994126284875183,0.0
Keratinocyte Differentiation (GO:0030216),0.0,0.0,6.6,6.135873015873016,14.42251461988304,0.0
Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),0.0,9.664201183431953,0.0,0.0,0.0,7.992671009771987
