Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),30/288,3.768579640960615e-08,9.217945801789664e-05,0,0,3.481983133145924,59.52095897499165,TOP2A;SP100;MCM7;BRCA1;SAMHD1;RECQL4;RAD51AP1;CDC45;EXO1;CBS;POLD1;TOPBP1;POLE;POLQ;PARP1;RMI1;FANCL;XRCC2;TOP3A;FANCA;MSH6;RAD51C;MSH2;UBE2T;TIMELESS;MCM4;MCM5;DNA2;ATR;MCM2,Malignant
GO_Biological_Process_2023,Myofibril Assembly (GO:0030239),10/46,2.189582535896356e-06,0.0019234467749186,0,0,8.158718078809404,106.32277944618076,KRT19;OBSCN;SIX4;ADPRHL1;ACTN2;MYL2;ANKRD1;LMOD3;LMOD2;MYH7,Malignant
GO_Biological_Process_2023,DNA Unwinding Involved In DNA Replication (GO:0006268),7/20,2.359092528518406e-06,0.0019234467749186,0,0,15.762237762237762,204.2349957145999,RECQL4;GINS2;CDC45;MCM7;MCM4;MCM5;MCM2,Malignant
GO_Biological_Process_2023,Double-Strand Break Repair Via Homologous Recombination (GO:0000724),15/111,4.205708898331184e-06,0.0025717909913295,0,0,4.610093941717792,57.06866498081016,GINS2;MCM7;RMI1;XRCC2;TOP3A;BRCA1;SAMHD1;SPIDR;RAD51AP1;RECQL4;RAD51C;CDC45;MCM4;MCM5;MCM2,Malignant
GO_Biological_Process_2023,DNA Repair (GO:0006281),26/291,5.488346409122162e-06,0.0026533376687885,0,0,2.918600064757307,35.35266270857415,BRCA1;RECQL4;RAD51AP1;EME1;EXO1;CHEK2;POLD1;NSD2;TOPBP1;POLE;POLQ;PARP1;FANCL;XRCC2;FANCA;TRAIP;MSH6;RAD51C;MSH2;FANCD2;UBE2T;TIMELESS;DNA2;TRIP13;HROB;ATR,Malignant
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),44/288,1.0077965125340087e-28,1.4613049431743129e-25,0,0,11.55110101174052,744.6372948768424,TOP2A;PRIM2;BLM;DCLRE1C;MCM7;MCM8;PRIM1;NUDT1;HMGB2;HMGB3;MCM10;BRCA1;RAD51AP1;ORC6;ORC3;POLD1;TOPBP1;POLE;BARD1;GEN1;RFC5;WDHD1;POLQ;RFC4;PARP1;LIG1;FANCL;XRCC2;SETMAR;LIG3;NAP1L1;FAM111B;MSH6;POLA1;POLA2;RAD51C;MSH2;UBE2T;TIMELESS;CDK1;MCM4;DNA2;MCM6;ATR,Dendritic
GO_Biological_Process_2023,DNA-templated DNA Replication (GO:0006261),20/69,1.8881010884140544e-19,1.3688732891001894e-16,0,0,24.469824627098543,1054.9808890688694,RFC5;GINS1;WDHD1;PRIM2;GINS2;BLM;RFC4;MCM7;PRIM1;MCM10;POLA1;POLA2;ORC6;ORC3;POLD1;MCM4;TOPBP1;DNA2;MCM6;POLE,Dendritic
GO_Biological_Process_2023,DNA Repair (GO:0006281),34/291,1.3563884405828304e-18,6.555877462817013e-16,0,0,8.198107930035679,337.2841467449504,BLM;DCLRE1C;NUDT1;BRCA1;RAD51AP1;CHEK2;POLD1;NSD2;TOPBP1;POLE;BARD1;FANCI;RFC5;WDHD1;POLQ;RFC4;PARP1;LIG1;ZGRF1;FANCL;XRCC2;LIG3;MSH6;POLA1;RAD51C;MSH2;FANCD2;UBE2T;TIMELESS;CDK1;DNA2;TRIP13;RHNO1;ATR,Dendritic
GO_Biological_Process_2023,Positive Regulation Of Cell Cycle Process (GO:0090068),22/118,8.773894335367775e-17,3.180536696570819e-14,0,0,13.790192307692308,509.8532767055915,GEN1;STIL;SPAG5;DDX11;NCAPG2;CDCA8;CDC7;SMC6;SMC4;NDC80;CIT;AURKA;EPGN;DBF4;RACGAP1;CENPJ;NCAPD3;KIF20B;ECT2;RHNO1;E2F8;MAD2L1,Dendritic
GO_Biological_Process_2023,DNA Damage Response (GO:0006974),36/384,1.6525853074748507e-16,4.7924973916770675e-14,0,0,6.421443619026499,233.34897178151616,TOP2A;BLM;MCM7;MCM8;SUV39H1;NUDT1;MCM10;SMC6;BRCA1;RAD51AP1;CHEK2;POLD1;FBXO5;TOPBP1;BARD1;RFC5;WDHD1;POLQ;SHPRH;CBX5;RFC4;PARP1;LIG1;FANCL;DDX11;XRCC2;BAZ1B;SPIDR;MSH6;POLA1;RAD51C;MSH2;UBE2T;TIMELESS;CDK1;ATR,Dendritic
