Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cell
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),87/288,7.139835286943527e-14,3.1536652462429554e-10,0,0,2.8499882273894093,86.27057318259963,TOP2A;TOP2B;FEN1;SMARCB1;DCLRE1C;FOXE1;MCM7;MCM8;OGG1;NUDT1;HMGB2;HMGB3;BRCA1;PARK7;HPF1;EXO1;FBXO6;TOPBP1;POLE;GEN1;RFC5;DFFB;RMI2;RFC3;RFC4;PARP1;LIG1;RMI1;KMT5C;RFC2;USP3;ACTL6A;SETMAR;TERF1;MSH6;RAD51D;RAD51C;NSMCE4A;MSH2;THAP9;DMC1;FSCN1;TIMELESS;MCM3;DNASE2;MCM5;DNA2;MCM6;DCTPP1;SP100;BLM;PRIM1;XPA;TYMS;SAMHD1;UNG;RECQL4;RAD51AP1;ORC4;NT5E;ORC6;CDC45;ORC1;ORC2;NT5M;BARD1;POLQ;XRCC6;DUT;FANCL;XRCC2;FANCA;DONSON;RPA2;FANCC;NAP1L1;POLA2;RAD51;RPA3;UBE2T;POLE2;CDK2;CDK1;NABP2;RAD9B;RAD18;CENPS,Malignant
GO_Biological_Process_2023,Double-Strand Break Repair Via Homologous Recombination (GO:0000724),40/111,1.434540487504321e-09,3.168182666653293e-06,0,0,3.671340210575623,74.75737594470543,BLM;FEN1;WDR48;MCM7;MCM8;MCMDC2;TONSL;NUCKS1;BRCA1;SAMHD1;RAD54B;MBTD1;RAD51AP1;RECQL4;CDC45;RNF138;EPC1;GEN1;GINS2;RMI2;SLF1;RMI1;XRCC2;XRCC1;RPA2;CDC7;FANCB;SPIDR;MMS22L;RAD51D;NSMCE4A;RAD51C;RAD51;RPA3;FSCN1;NABP2;MCM3;MCM5;AUNIP;MCM6,Malignant
GO_Biological_Process_2023,DNA Damage Response (GO:0006974),94/384,2.926332154246802e-09,4.3085363751027085e-06,0,0,2.1289059174116645,41.83197093477433,TOP2A;CDKN1A;FEN1;ANKLE1;WDR48;FOXE1;MCM7;MCM8;OGG1;PHF1;SUV39H1;NUDT1;BRCA1;PARK7;PIDD1;HPF1;EXO1;CHEK2;CHCHD6;HMCES;MACROD1;CASP2;FBXO6;FBXO5;TOPBP1;RFC5;RMI2;RFC3;RFC4;PARP1;LIG1;KMT5C;RFC2;DDX11;USP3;SPIDR;WDR76;TRAIP;RNF168;MSH6;RAD51D;RAD51C;AIM2;NSMCE4A;MSH2;DDIT3;FSCN1;TIMELESS;IRF7;CEP63;HDGFL2;BLM;UBA7;STXBP4;XPA;SAMHD1;UNG;RECQL4;RAD51AP1;MRNIP;OARD1;RBBP5;E2F1;SFN;USP51;BAK1;BID;MAP2K6;BARD1;POLQ;SLF1;CBX5;CBX3;FANCL;XRCC2;CBX1;FANCA;FANCC;MAPK12;PML;MAD2L2;RAD51;BCL6;RPA3;CDK3;UBE2T;POLE2;BCL2;CDK1;NABP2;HROB;RAD9B;RAD18;CENPS,Malignant
GO_Biological_Process_2023,Double-Strand Break Repair (GO:0006302),50/168,2.4054291905132213e-08,2.656195183624225e-05,0,0,2.764203595586533,48.49229209775199,DCLRE1A;FEN1;ANKLE1;DCLRE1C;WDR48;MCM8;TONSL;HMGB2;NUCKS1;BRCA1;HPF1;EME1;CHEK2;EPC1;TNKS1BP1;GEN1;RMI2;PARP1;ZGRF1;RMI1;SETMAR;PARP9;SPIDR;RNF168;MMS22L;RAD51D;NSMCE4A;RAD51C;FSCN1;DNA2;BLM;ATP23;CDCA5;SAMHD1;RAD54B;MBTD1;RAD51AP1;RECQL4;RNF138;POLQ;XRCC6;SLF1;XRCC2;RPA2;MAD2L2;RAD51;RPA3;NABP2;AUNIP;TRIP13,Malignant
GO_Biological_Process_2023,Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:0010569),28/71,4.342503623341829e-08,3.8361677008601714e-05,0,0,4.231088246102158,71.7263797883975,WDR48;PARPBP;KLHL15;YEATS4;ACTB;MBTD1;RAD51AP1;ING3;MRNIP;VPS72;EPC1;USP51;KMT5A;BRD8;ARID2;POLQ;RMI2;PARP1;FUS;ACTL6A;RPA2;FANCB;SPIDR;MAD2L2;MRGBP;RAD51;TIMELESS;HDGFL2,Malignant
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),89/288,4.549416756505493e-17,1.97945123075554e-13,0,0,3.258488744690244,122.61350203863394,TOP2A;TOP2B;FEN1;SMARCB1;DCLRE1C;FOXE1;MCM7;MCM8;OGG1;NUDT1;HMGB2;HMGB3;BRCA1;PARK7;HPF1;SUMO1;EXO1;TOP1MT;FBXO6;TOPBP1;POLE;GEN1;RFC5;DFFB;RMI2;RFC3;RFC4;PARP1;LIG1;RMI1;KMT5C;RFC2;USP3;ACTL6A;SETMAR;TERF1;MSH6;RAD51D;RAD51C;NSMCE4A;MSH2;THAP9;DMC1;FSCN1;TIMELESS;MCM3;DNASE2;MCM5;DNA2;MCM6;DCTPP1;SP100;BLM;PRIM1;XPA;TYMS;SAMHD1;UNG;RECQL4;RAD51AP1;ORC4;NT5E;ORC6;CDC45;ORC1;ORC2;NT5M;BARD1;MBD4;POLQ;XRCC6;DUT;FANCL;XRCC2;FANCA;DONSON;RPA2;FANCC;NAP1L1;POLA2;RAD51;RPA3;UBE2T;POLE2;CDK2;CDK1;RAD9B;RAD18;CENPS,Endothelial
GO_Biological_Process_2023,DNA Damage Response (GO:0006974),92/384,1.7600165181245643e-10,3.82891593517999e-07,0,0,2.286103039527697,51.34708072583449,TOP2A;CDKN1A;FEN1;ANKLE1;WDR48;FOXE1;MCM7;MCM8;OGG1;PHF1;SUV39H1;NUDT1;BRCA1;PARK7;PIDD1;HPF1;SUMO1;EXO1;CHEK2;CHCHD6;HMCES;MACROD1;CASP2;FBXO6;FBXO5;TOPBP1;RFC5;RMI2;RFC3;RFC4;PARP1;LIG1;KMT5C;RFC2;DDX11;USP3;SPIDR;WDR76;TRAIP;RNF168;MSH6;RAD51D;RAD51C;AIM2;NSMCE4A;MSH2;DDIT3;FSCN1;TIMELESS;IRF7;CEP63;BLM;UBA7;STXBP4;XPA;SAMHD1;UNG;RECQL4;RAD51AP1;MRNIP;OARD1;E2F1;SFN;USP51;BAK1;BID;MAP2K6;BARD1;MBD4;POLQ;SLF1;CBX5;CBX3;FANCL;XRCC2;FANCA;FANCC;MAPK12;PML;MAD2L2;RAD51;BCL6;RPA3;CDK3;UBE2T;POLE2;BCL2;CDK1;HROB;RAD9B;RAD18;CENPS,Endothelial
GO_Biological_Process_2023,DNA Repair (GO:0006281),73/291,1.599211455737688e-09,1.90848823039198e-06,0,0,2.420796383903775,49.030217274435486,DCLRE1A;FEN1;DCLRE1C;FOXE1;OGG1;NUDT1;NUCKS1;BRCA1;PARK7;HPF1;EME1;SUMO1;EXO1;CHEK2;TNKS1BP1;FBXO6;TOPBP1;POLE;RFC5;RMI2;RFC3;RFC4;PARP1;LIG1;KMT5C;ZGRF1;RFC2;USP3;PARP9;TRAIP;RNF168;MSH6;RAD51D;RAD51C;NSMCE4A;MSH2;FANCD2;FSCN1;TIMELESS;DNA2;RHNO1;BLM;RNASEH2B;PCNA;CDCA5;XPA;UNG;RECQL4;RAD51AP1;PMS1;BARD1;FANCI;MBD4;POLQ;XRCC6;FANCL;XRCC2;FANCA;XRCC1;RPA2;FANCC;FANCB;MAD2L2;RAD51;RPA3;UBE2T;POLE2;CDK1;TRIP13;HROB;RAD9B;RAD18;CENPS,Endothelial
GO_Biological_Process_2023,Double-Strand Break Repair Via Homologous Recombination (GO:0000724),38/111,1.7545283662532562e-09,1.90848823039198e-06,0,0,3.740019166807599,75.40277234069451,BLM;FEN1;WDR48;MCM7;MCM8;MCMDC2;TONSL;NUCKS1;BRCA1;SAMHD1;RAD54B;MBTD1;RAD51AP1;RECQL4;CDC45;RNF138;GEN1;GINS2;RMI2;SLF1;RMI1;XRCC2;XRCC1;RPA2;CDC7;FANCB;SPIDR;MMS22L;RAD51D;NSMCE4A;RAD51C;RAD51;RPA3;FSCN1;MCM3;MCM5;AUNIP;MCM6,Endothelial
GO_Biological_Process_2023,Double-Strand Break Repair (GO:0006302),48/168,1.2834153210198915e-08,1.1168280123515098e-05,0,0,2.87801652892562,52.296887317261245,DCLRE1A;BLM;FEN1;ANKLE1;DCLRE1C;WDR48;MCM8;ATP23;CDCA5;TONSL;HMGB2;NUCKS1;BRCA1;SAMHD1;RAD54B;MBTD1;RAD51AP1;RECQL4;HPF1;EME1;RNF138;CHEK2;TNKS1BP1;GEN1;POLQ;XRCC6;RMI2;SLF1;PARP1;ZGRF1;RMI1;XRCC2;SETMAR;RPA2;PARP9;SPIDR;RNF168;MAD2L2;MMS22L;RAD51D;NSMCE4A;RAD51C;RAD51;RPA3;FSCN1;AUNIP;DNA2;TRIP13,Endothelial
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),87/288,2.074285165721852e-15,9.033511896718663e-12,0,0,3.0610461207476134,103.4913974485525,TOP2A;TOP2B;FEN1;SMARCB1;DCLRE1C;FOXE1;MCM7;MCM8;NUDT1;HMGB2;HMGB3;BRCA1;PARK7;HPF1;SUMO1;EXO1;FBXO6;TOPBP1;POLE;GEN1;RFC5;DFFB;RMI2;RFC3;RFC4;PARP1;LIG1;RMI1;KMT5C;RFC2;USP3;ACTL6A;SETMAR;TERF1;MSH6;RAD51D;RAD51C;NSMCE4A;MSH2;THAP9;DMC1;FSCN1;TIMELESS;MCM3;DNASE2;MCM5;DNA2;MCM6;DCTPP1;SP100;BLM;PRIM1;XPA;TYMS;SAMHD1;UNG;RECQL4;RAD51AP1;ORC4;NT5E;ORC6;CDC45;ORC1;ORC2;NT5M;BARD1;POLQ;XRCC6;DUT;FANCL;XRCC2;FANCA;DONSON;RPA2;FANCC;NAP1L1;POLA1;POLA2;RAD51;RPA3;UBE2T;POLE2;CDK2;CDK1;RAD9B;RAD18;CENPS,Fibroblast
GO_Biological_Process_2023,Double-Strand Break Repair Via Homologous Recombination (GO:0000724),39/111,9.243863347516239e-10,2.012851243921661e-06,0,0,3.7849230254350736,78.73355629596021,BLM;FEN1;WDR48;MCM7;MCM8;MCMDC2;TONSL;NUCKS1;BRCA1;SAMHD1;RAD54B;MBTD1;RAD51AP1;RECQL4;CDC45;RNF138;EPC1;GEN1;GINS2;RMI2;SLF1;RMI1;XRCC2;XRCC1;RPA2;CDC7;FANCB;SPIDR;MMS22L;RAD51D;NSMCE4A;RAD51C;RAD51;RPA3;FSCN1;MCM3;MCM5;AUNIP;MCM6,Fibroblast
GO_Biological_Process_2023,DNA Damage Response (GO:0006974),90/384,3.136715956612776e-09,4.553465997016214e-06,0,0,2.15591033461355,42.21291721521172,TOP2A;CDKN1A;FEN1;WDR48;FOXE1;MCM7;MCM8;PHF1;SUV39H1;NUDT1;BRCA1;PARK7;TNFSF13B;PIDD1;HPF1;SUMO1;EXO1;CHEK2;CHCHD6;HMCES;MACROD1;CASP2;FBXO6;FBXO5;TOPBP1;RFC5;RMI2;RFC3;RFC4;PARP1;LIG1;KMT5C;RFC2;DDX11;USP3;SPIDR;WDR76;TRAIP;RNF168;MSH6;RAD51D;RAD51C;AIM2;NSMCE4A;MSH2;DDIT3;FSCN1;TIMELESS;IRF7;CEP63;BLM;UBA7;STXBP4;XPA;SAMHD1;UNG;RECQL4;RAD51AP1;MRNIP;OARD1;E2F1;SFN;USP51;BAK1;BID;MAP2K6;BARD1;POLQ;SLF1;CBX5;CBX3;FANCL;XRCC2;FANCA;FANCC;MAPK12;PML;MAD2L2;POLA1;RAD51;BCL6;RPA3;UBE2T;POLE2;BCL2;CDK1;HROB;RAD9B;RAD18;CENPS,Fibroblast
