source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Fibroblast,Mast,COL1A2,CD44,10.808144,0.0,116.58815,1.868359902871456,5.703682824870784,0.042600647,0.7188238,9.39505013563463e-06,2.5350023258852375e-09
Fibroblast,Macrophage,COL1A2,CD44,10.605273,0.0,112.00918,1.7146979819018335,5.282848519015532,0.04092752,0.71475697,2.013120747178746e-05,1.0139895848888548e-08
Fibroblast,Mast,FN1,CD44,10.4808655,0.0,109.82602,1.6414758664575735,4.196937844814558,0.036753427,0.71274626,0.00014264372730344725,2.281451038703133e-08
Fibroblast,T cell,COL1A2,CD44,10.336854,0.0,105.950714,1.5113904161463192,4.795708781025935,0.03871379,0.70905477,5.57912598076936e-05,4.055867575833497e-08
Endothelial,Macrophage,APP,CD74,10.308065,0.0,105.7712,1.333878668891971,2.224922565961731,0.026417159,0.7088799,0.011058408642222467,6.337222178082089e-08
Endothelial,Dendritic,APP,CD74,10.290552,0.0,105.434555,1.320389541247188,2.1715354977969596,0.026333077,0.7085508,0.011477613820371973,1.2420677505142504e-07
Fibroblast,Macrophage,FN1,CD44,10.277994,0.0,105.512634,1.487813945487951,3.7761035389593065,0.035309948,0.7086272,0.00026156167244538713,1.6222744193558609e-07
Fibroblast,Malignant,COL1A2,SDC1,10.288517,0.0,104.8597,2.0132910398418646,6.746054204909053,0.057701744,0.70798594,4.32027439669123e-08,1.6222744193558609e-07
Fibroblast,Mast,COL6A2,CD44,10.213131,0.0,104.29419,1.5972735021865165,3.743087162515394,0.035963714,0.7074266,0.00019532512182204336,2.0531680874301498e-07
Fibroblast,Mast,COL6A3,CD44,10.180555,0.0,103.621124,1.8499568655791179,5.242165749903513,0.043019168,0.7067562,7.806343682058655e-06,3.0670096139976186e-07
Fibroblast,Fibroblast,COL1A2,CD44,10.198857,0.0,102.836006,1.406867665139708,4.576632710420742,0.037575692,0.7059675,0.00018293171865151154,3.649954068851226e-07
Fibroblast,Mast,COL6A1,CD44,10.178146,0.0,103.57135,1.7089018848403232,4.325700093515016,0.037121315,0.7067064,0.00012119263443727411,3.649954068851226e-07
Dendritic,Macrophage,APP,CD74,10.12533,0.0,101.7494,1.2547400673233975,1.816481945696789,0.02541268,0.7048637,0.016926074110001337,4.2835787156583687e-07
Dendritic,Dendritic,APP,CD74,10.107818,0.0,101.425545,1.2412509396786144,1.7630948775320174,0.025331795,0.704532,0.017420946657775178,4.967881852599259e-07
Fibroblast,Macrophage,COL6A2,CD44,10.010261,0.0,100.19807,1.4436115812168941,3.3222528566601426,0.034551248,0.70326316,0.0003752371881223864,5.702861118612036e-07
Fibroblast,T cell,FN1,CD44,10.009575,0.0,99.805565,1.2845063797324368,3.288963800969709,0.033400066,0.70285344,0.0006320446550491302,7.324844438910621e-07
Malignant,Mast,PKM,CD44,10.00832,0.0,100.06246,1.1682446968435802,1.702746838893873,0.02153867,0.7031218,0.02113403294930672,7.324844438910621e-07
Fibroblast,Macrophage,COL6A3,CD44,9.977685,0.0,99.55143,1.6962949446094955,4.821331444048261,0.0413296,0.7025871,1.7036212142953853e-05,9.149514490633524e-07
Macrophage,Fibroblast,PSAP,LRP1,9.986673,0.0,99.032104,1.6880032510845204,3.5256218679416484,0.03496126,0.7020404,0.00031385592239100904,1.0137853665145295e-06
Fibroblast,Macrophage,COL6A1,CD44,9.975276,0.0,99.50362,1.5552399638707008,3.904865787659764,0.035663385,0.70253694,0.0002212966667529579,1.0137853665145295e-06
Fibroblast,Malignant,FN1,SDC1,9.961239,0.0,98.77783,1.786407003427982,5.2393092248528275,0.0497818,0.7017714,1.5846992786797337e-06,1.117685765922246e-06
Endothelial,Mast,COL4A2,CD44,9.937983,0.0,98.60915,1.5461800947064956,3.3743823652667135,0.038216915,0.7015925,6.966918748867889e-05,1.226652837456699e-06
Fibroblast,Mast,PKM,CD44,9.935639,0.0,98.560745,1.108288849080128,1.5638748520734937,0.021215424,0.70154107,0.02113403294930672,1.3406860330119135e-06
Macrophage,Dendritic,HLA-DRA,CD4,9.881496,0.0,97.274605,1.6307972931025667,3.3169807997664975,0.034808718,0.70016414,0.0003345168395343619,1.5839508888765264e-06
Fibroblast,Fibroblast,FN1,CD44,9.871578,0.0,96.871506,1.1799836287258256,3.069887730364516,0.03241818,0.69972813,0.0015883269808085107,1.847478972060256e-06
Fibroblast,Macrophage,APP,CD74,9.884437,0.0,96.44757,1.1504125062195423,1.3715850762533464,0.02408851,0.69926715,0.02113403294930672,1.847478972060256e-06
Macrophage,Mast,PKM,CD44,9.867384,0.0,97.15049,1.0519864515309765,1.435274045080793,0.020911861,0.70003015,0.02113403294930672,1.9868414214735096e-06
Fibroblast,Dendritic,APP,CD74,9.866924,0.0,96.14059,1.1369233785747592,1.318198008088575,0.02401184,0.6989319,0.02113403294930672,2.131268921107273e-06
Malignant,Macrophage,PKM,CD44,9.80545,0.0,96.13253,1.0145827758739578,1.2819125330386214,0.020692743,0.698923,0.02113403294930672,2.2807615380593553e-06
Fibroblast,Malignant,COL1A2,CD44,9.8719425,0.0,95.457245,1.1592514246075365,4.062349296871821,0.034879535,0.6981808,0.0019284459039223805,2.2807615380593553e-06
Fibroblast,T cell,COL6A2,CD44,9.741841,0.0,94.77845,1.2403040154613798,2.835113118670545,0.032682408,0.69742835,0.0009393843985216794,2.594942005585013e-06
Endothelial,Macrophage,COL4A2,CD44,9.735111,0.0,94.736305,1.3925181737368733,2.953548059411462,0.036715955,0.69738144,0.00022313577914958956,2.7596289709678546e-06
Fibroblast,Macrophage,PKM,CD44,9.732769,0.0,94.689804,0.9546269281105054,1.1430405462182422,0.020382194,0.69732964,0.02113403294930672,2.9293803729422808e-06
Fibroblast,T cell,COL6A3,CD44,9.709266,0.0,94.166794,1.4929873788539811,4.334191706058664,0.039094124,0.69674486,6.467978499863671e-05,3.104196041326757e-06
Fibroblast,T cell,COL6A1,CD44,9.706857,0.0,94.12156,1.3519323981151865,3.4177260496701667,0.03373439,0.6966941,0.0005404190931244522,3.284076438589018e-06
Fibroblast,Malignant,COL6A2,SDC1,9.693504,0.0,93.80248,1.742204639156925,4.7854585425536635,0.04871215,0.6963352,2.9862491418364935e-06,3.6590276108991145e-06
Fibroblast,Endothelial,FN1,ITGA6,9.701756,0.0,93.26076,1.8213056212333618,4.692916630833538,0.048116665,0.69572246,1.0294760278048547e-06,3.6590276108991145e-06
Macrophage,Mast,SPP1,CD44,9.674739,0.0,93.170105,1.650779277661639,3.5841785848006342,0.037447575,0.69561946,0.00010172331493585753,4.054233828838894e-06
Macrophage,Macrophage,PKM,CD44,9.664515,0.0,93.33493,0.8983245305613541,1.0144397392255415,0.020090554,0.6958066,0.02113403294930672,4.054233828838894e-06
Fibroblast,Malignant,COL6A3,SDC1,9.660929,0.0,93.19713,1.9948880025495264,6.284537129941782,0.05826862,0.69565016,5.148701432603355e-08,4.259431556992002e-06
Fibroblast,Malignant,COL3A1,DDR1,9.763261,0.0,92.85471,2.1243344449801143,7.041757581267166,0.059038803,0.6952604,1.3273604161813354e-08,4.469692360283226e-06
Fibroblast,Malignant,COL6A1,SDC1,9.65852,0.0,93.15236,1.8538330218107317,5.368071473553285,0.050280094,0.6955994,7.086363079896035e-07,4.469692360283226e-06
Malignant,Mast,LAMC2,CD44,9.65291,0.0,92.71908,1.5052069273049868,3.2468451038436994,0.034166664,0.6951055,0.0004499195390671651,4.685016068531032e-06
Fibroblast,Fibroblast,COL6A2,CD44,9.603845,0.0,91.99218,1.1357812644547687,2.616037048065352,0.031721618,0.69427085,0.002337088248795869,4.9054032846880086e-06
T cell,Mast,PKM,CD44,9.591875,0.0,91.45799,0.8247149832358581,0.9655863099503295,0.019686539,0.69365245,0.02113403294930672,5.130852309862305e-06
Fibroblast,Fibroblast,COL6A3,CD44,9.571269,0.0,91.398506,1.38846462784737,4.115115635453471,0.037944846,0.6935833,0.000235815240897731,5.837573914489733e-06
Fibroblast,Fibroblast,COL6A1,CD44,9.56886,0.0,91.35461,1.2474096471085754,3.1986499790649736,0.032742675,0.6935322,0.0008752873430570829,6.0832715137759205e-06
Malignant,Mast,LAMB3,CD44,9.581095,0.0,91.23525,1.5568968135132202,3.2765025283490434,0.030804703,0.69339323,0.0018809480073396655,6.0832715137759205e-06
Macrophage,Fibroblast,C1QB,LRP1,9.564508,0.0,91.30727,2.028463785364753,6.29502107587972,0.064512506,0.6934771,2.7046916671272896e-08,6.334030826746757e-06
Endothelial,Mast,PKM,CD44,9.556866,0.0,90.73464,0.795837353140191,0.9122044021207856,0.019530836,0.6928081,0.02113403294930672,6.850734826597437e-06
Malignant,T cell,PKM,CD44,9.537031,0.0,90.93282,0.8112752101184435,0.794772795049024,0.019573493,0.69304025,0.02113403294930672,8.231061708146566e-06
Fibroblast,Malignant,FN1,CD44,9.544664,0.0,89.920715,0.9323673881936541,2.555604316815595,0.03009209,0.69184834,0.010743254460684852,8.231061708146566e-06
Malignant,Macrophage,S100A9,ITGB2,9.534159,0.0,90.83262,1.7595663648668758,4.1982772572850875,0.03791308,0.692923,8.063579172206064e-05,8.522308639159829e-06
Fibroblast,Malignant,FN1,ITGA6,9.544226,0.0,89.91139,1.7382975871142126,4.259257103594832,0.046388604,0.6918374,3.1736731678681626e-06,8.522308639159829e-06
Dendritic,Dendritic,HLA-DRA,CD4,9.519819,0.0,90.566414,1.4028877501309347,2.403284548086633,0.03240826,0.6926106,0.0010027632791385682,8.818615752222733e-06
Endothelial,Endothelial,APP,CD74,9.519054,0.0,90.60381,0.7261368922073255,0.8150384338525765,0.02262899,0.69265455,0.02113403294930672,9.119982877153747e-06
T cell,T cell,HLA-B,CD8A,9.518862,0.0,90.0901,1.5626285274856915,3.7593035182291823,0.034266073,0.69204897,0.000424732094540851,9.426409843771338e-06
Macrophage,Dendritic,HLA-DRB1,CD4,9.5039,0.0,90.27113,1.6297399954611307,3.191891740919714,0.034264773,0.6922628,0.0004254384572031714,9.737898660067826e-06
Macrophage,Macrophage,HLA-DRA,CD4,9.498401,0.0,89.23782,1.4693676687974175,2.346371112094719,0.03193284,0.69103515,0.0012139006707274985,1.0054444834608575e-05
Malignant,Macrophage,APP,CD74,9.555325,0.0,89.204155,1.0078801320190642,0.8255671085563723,0.022279413,0.69099486,0.02113403294930672,1.037605034029011e-05
Macrophage,Macrophage,SPP1,CD44,9.4718685,0.0,89.51088,1.4971173566920166,3.1633442789453827,0.03597683,0.69136125,0.00019364148238697733,1.0702715006930894e-05
Fibroblast,Fibroblast,COL1A2,SDC1,9.586712,0.0,89.01933,1.69683613516625,4.958289671345855,0.048985172,0.6907734,5.65399374968243e-06,1.1034438664349392e-05
Endothelial,T cell,COL4A2,CD44,9.466692,0.0,89.612114,1.189210607981359,2.4664083214218646,0.034730025,0.6914818,0.0014844346072883895,1.137122114236407e-05
Malignant,Dendritic,APP,CD74,9.537812,0.0,88.920235,0.9943910043742813,0.7721800403916008,0.0222085,0.6906544,0.02113403294930672,1.137122114236407e-05
Fibroblast,Malignant,TNC,SDC1,9.466263,0.0,89.57963,1.6648597211981742,4.534208482727805,0.047687203,0.6914431,8.95217173036969e-06,1.1713062270793385e-05
Fibroblast,T cell,PKM,CD44,9.46435,0.0,89.56812,0.751319362354991,0.6559008082286448,0.01927974,0.69142944,0.02113403294930672,1.2059961879455806e-05
Mast,Mast,VIM,CD44,9.457773,0.0,88.687225,1.1645246115587051,1.7164399617303534,0.023046257,0.690374,0.02113403294930672,1.3131012414093557e-05
Malignant,Macrophage,LAMC2,CD44,9.450039,0.0,89.07757,1.3515450063353645,2.826010797988448,0.032824773,0.6908432,0.0008460197004271228,1.349814427695586e-05
Endothelial,Mast,VIM,CD44,9.454898,0.0,88.62782,1.1626997351007908,1.7191923378452687,0.023030821,0.69030243,0.02113403294930672,1.349814427695586e-05
Mast,T cell,HLA-B,CD8A,9.441053,0.0,88.720894,1.4246545985666623,3.6244690328373963,0.03374529,0.69041467,0.0005371143301087826,1.3870333769142407e-05
Fibroblast,Dendritic,COL1A2,CD44,9.557644,0.0,88.363235,0.9211924402703136,3.572245610326285,0.032287423,0.68998283,0.011582454900586063,1.3870333769142407e-05
Dendritic,T cell,HLA-B,CD8A,9.439283,0.0,88.68975,1.4215120666688805,3.613795167325211,0.033733446,0.6903771,0.0005412473784273537,1.4247580720471667e-05
Endothelial,B cell,APP,CD74,9.41941,0.0,88.688324,0.6493850431961006,0.7238906102455305,0.022150582,0.6903754,0.02113403294930672,1.5017246319832167e-05
Endothelial,Malignant,COL4A2,SDC1,9.418356,0.0,88.68935,1.6911112316769041,4.416753745304983,0.05176406,0.6903766,6.022826004343504e-06,1.540966462750034e-05
Fibroblast,Endothelial,COL6A1,ITGA6,9.399036,0.0,87.949486,1.8887316396161116,4.821678879533995,0.048598297,0.6894806,6.594852708364984e-07,1.6209674217601782e-05
Endothelial,Mast,LAMA5,CD44,9.409906,0.0,87.69823,1.6119194620142812,3.1877784294340823,0.030636087,0.68917423,0.0020139453934925437,1.661726238504841e-05
Malignant,Fibroblast,PKM,CD44,9.3990345,0.0,88.259605,0.7067524591118325,0.5756967244438309,0.018998077,0.6898573,0.02113403294930672,1.661726238504841e-05
Macrophage,T cell,PKM,CD44,9.396095,0.0,88.28654,0.6950169648058397,0.5273000012359441,0.019003876,0.68988985,0.02113403294930672,1.702990682036583e-05
T cell,Macrophage,PKM,CD44,9.389004,0.0,87.866005,0.6710530622662357,0.544752004095078,0.018913355,0.6893789,0.02113403294930672,1.744760735337248e-05
Dendritic,Macrophage,COPA,CD74,9.471293,0.0,87.354706,1.2499925431464685,1.6578402670582202,0.021358155,0.6887537,0.02113403294930672,1.7870363813886837e-05
Macrophage,T cell,HLA-B,CD8A,9.384454,0.0,87.72488,1.3242899423212122,3.5425912413800127,0.033366453,0.68920684,0.0006394179474518781,1.7870363813886837e-05
Endothelial,Fibroblast,APP,LRP1,9.380368,0.0,87.93782,1.3960919561856155,3.139454746113344,0.039115928,0.6894664,0.00021448946301125905,1.829817603172737e-05
Malignant,Macrophage,LAMB3,CD44,9.378223,0.0,87.652016,1.4032348925435978,2.855668222493792,0.029594855,0.6891177,0.003147373462666804,1.9168970113846802e-05
Dendritic,Dendritic,COPA,CD74,9.45378,0.0,87.07667,1.2365034155016854,1.6044531988934487,0.021290174,0.6884119,0.02113403294930672,2.0059982198035512e-05
Fibroblast,Mast,VIM,CD44,9.379302,0.0,87.06589,1.1147324961702845,1.5722089160323982,0.022624938,0.6883986,0.02113403294930672,2.0513070684846602e-05
Endothelial,Macrophage,PKM,CD44,9.353994,0.0,87.17107,0.6421754321705686,0.4913700962655341,0.018763768,0.68852806,0.02113403294930672,2.0513070684846602e-05
Fibroblast,Endothelial,COL1A2,ITGA3_ITGB1,9.498051,0.0,87.018166,1.8039509056517118,5.530193053673504,0.04884227,0.6883399,1.355814518554708e-06,2.0971213907893463e-05
