cell,pathway,tcga,cptac,delta,p,n_genes,fdr
Dendritic,Establishment Of Skin Barrier (GO:0061436),0.05492180213332176,-0.2167447954416275,0.27166658639907837,2.127002905110185e-05,12,0.0025102518083001614
Dendritic,B Cell Receptor Signaling Pathway (GO:0050853),0.058785002678632736,-0.23199041187763214,0.2907754182815552,3.137814760375202e-05,31,0.0025102518083001614
Malignant,Keratinocyte Differentiation (GO:0030216),-0.060813892632722855,0.2399972528219223,-0.30081114172935486,5.4445189670648367e-05,31,0.0029037434491012465
Endothelial,Keratinocyte Differentiation (GO:0030216),-0.05490812286734581,0.21669058501720428,-0.2715986967086792,8.450283151149747e-05,31,0.0033801132604598986
Dendritic,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),0.03476835787296295,-0.13721105456352234,0.1719794124364853,0.00016851197515572823,59,0.0053923832049833035
Fibroblast,Keratinocyte Differentiation (GO:0030216),-0.05417940393090248,0.21381530165672302,-0.2679947018623352,0.0002355510022046886,31,0.006281360058791696
Dendritic,Keratinocyte Differentiation (GO:0030216),0.051057763397693634,-0.2014959305524826,0.25255370140075684,0.000338847898271825,31,0.007310303496342869
Endothelial,Antibacterial Humoral Response (GO:0019731),-0.03247362747788429,0.12815535068511963,-0.16062897443771362,0.00036551517481714347,20,0.007310303496342869
Mast,Keratinocyte Differentiation (GO:0030216),0.03746531531214714,-0.14785368740558624,0.18531900644302368,0.00044764306269134144,31,0.007958098892290514
Malignant,Epidermis Development (GO:0008544),-0.04711033031344414,0.18591737747192383,-0.23302771151065826,0.0007548346010900808,49,0.010976932979623074
Fibroblast,Antibacterial Humoral Response (GO:0019731),-0.032053928822278976,0.1264992505311966,-0.15855318307876587,0.0008404824945270299,20,0.010976932979623074
Dendritic,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),0.0495610386133194,-0.19558928906917572,0.24515032768249512,0.0008647984538837564,16,0.010976932979623074
Fibroblast,B Cell Receptor Signaling Pathway (GO:0050853),-0.04883978143334389,0.19274334609508514,-0.24158312380313873,0.0008918758045943748,31,0.010976932979623074
Dendritic,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),0.04934100806713104,-0.19472095370292664,0.24406196177005768,0.000977895164150931,17,0.011095404753897508
Endothelial,Epidermis Development (GO:0008544),-0.04007600620388985,0.1581573337316513,-0.19823333621025085,0.0011149043633006605,49,0.011095404753897508
Dendritic,Epidermis Development (GO:0008544),0.04480013623833656,-0.17680037021636963,0.2216005027294159,0.0011734280297694432,49,0.011095404753897508
Dendritic,Myeloid Cell Differentiation (GO:0030099),0.04123900830745697,-0.16274668276309967,0.20398569107055664,0.0011788867551016102,42,0.011095404753897508
Mast,Epidermis Development (GO:0008544),0.029176734387874603,-0.11514358967542648,0.1443203240633011,0.001269479078341755,49,0.011284258474148932
Dendritic,Antibacterial Humoral Response (GO:0019731),0.03596454858779907,-0.14193162322044373,0.1778961718082428,0.0015492590079558325,20,0.012980825700444114
Fibroblast,Epidermis Development (GO:0008544),-0.04360334575176239,0.17207768559455872,-0.2156810313463211,0.0016358726710605884,49,0.012980825700444114
T cell,Epidermis Development (GO:0008544),0.05568014830350876,-0.21973779797554016,0.2754179537296295,0.00170373337318329,49,0.012980825700444114
T cell,Keratinocyte Differentiation (GO:0030216),0.05568237975239754,-0.2197466790676117,0.2754290699958801,0.0024098257555422633,31,0.017526005494852823
Dendritic,Erythrocyte Differentiation (GO:0030218),0.03935728967189789,-0.15532074868679047,0.19467803835868835,0.0026411495081651165,38,0.01837321396984429
Dendritic,T Cell Receptor Signaling Pathway (GO:0050852),0.043479256331920624,-0.17158794403076172,0.21506720781326294,0.002812531853308255,69,0.018552645189465887
Mast,Antibacterial Humoral Response (GO:0019731),0.030278099700808525,-0.11948961019515991,0.1497677117586136,0.002898850810854045,20,0.018552645189465887
Dendritic,Collagen Fibril Organization (GO:0030199),0.03190901502966881,-0.1259266436100006,0.15783566236495972,0.003954402748215378,21,0.024282640848212862
Malignant,Establishment Of Skin Barrier (GO:0061436),-0.0408366322517395,0.16115887463092804,-0.20199550688266754,0.0040976956431359205,12,0.024282640848212862
Dendritic,Extracellular Matrix Organization (GO:0030198),0.02864997088909149,-0.11306487768888474,0.14171484112739563,0.004857286328276539,78,0.02775592187586594
Endothelial,B Cell Receptor Signaling Pathway (GO:0050853),-0.03965538367629051,0.1564970314502716,-0.19615241885185242,0.005240012911287531,31,0.028910416062276036
Dendritic,T Cell Activation (GO:0042110),0.03669300302863121,-0.1448058784008026,0.18149888515472412,0.006453058171577215,65,0.03441631024841182
Dendritic,Sprouting Angiogenesis (GO:0002040),0.034964509308338165,-0.13798440992832184,0.1729489266872406,0.007504223205729142,26,0.03873147461021492
T cell,B Cell Receptor Signaling Pathway (GO:0050853),0.05081227421760559,-0.20052704215049744,0.251339316368103,0.008672706466873948,31,0.04336353233436974
T cell,Antibacterial Humoral Response (GO:0019731),0.040484316647052765,-0.15976862609386444,0.2002529501914978,0.010020326300446266,20,0.04858340024458796
Dendritic,Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049),0.034367408603429794,-0.1356286108493805,0.16999602317810059,0.01150799357291367,19,0.05415526387253492
Dendritic,Immunoglobulin Mediated Immune Response (GO:0016064),0.036957234144210815,-0.14584866166114807,0.1828058958053589,0.011926016051326706,18,0.05451893052035066
Dendritic,Neutrophil Migration (GO:1990266),0.030795235186815262,-0.12153135240077972,0.1523265838623047,0.012357446614996968,35,0.054921984955542076
Dendritic,Endodermal Cell Differentiation (GO:0035987),0.03261864185333252,-0.12872695922851562,0.16134560108184814,0.013862975330429652,21,0.05994800142888498
T cell,Collagen Fibril Organization (GO:0030199),0.048667121678590775,-0.19206145405769348,0.24072857201099396,0.017429340169857522,21,0.07338669545203168
T cell,Neutrophil Migration (GO:1990266),0.04146761819720268,-0.16364872455596924,0.20511634647846222,0.018818578741781458,35,0.07720442560730854
T cell,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),0.03965696692466736,-0.1565031260251999,0.19616009294986725,0.019325489988000544,59,0.07730195995200217
T cell,Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049),0.04299820214509964,-0.16968934237957,0.21268755197525024,0.020991867322786743,19,0.07920982755307332
Malignant,B Cell Receptor Signaling Pathway (GO:0050853),-0.035712629556655884,0.1409374177455902,-0.1766500473022461,0.021250472019977557,31,0.07920982755307332
T cell,Establishment Of Skin Barrier (GO:0061436),0.042816873639822006,-0.16897347569465637,0.21179035305976868,0.021287641154888452,12,0.07920982755307332
Malignant,Antibacterial Humoral Response (GO:0019731),-0.02803652174770832,0.11064423620700836,-0.13868075609207153,0.02204300553798678,20,0.08015638377449738
T cell,Sprouting Angiogenesis (GO:0002040),0.04528067260980606,-0.17869707942008972,0.22397774457931519,0.02374637464122053,26,0.08443155427989521
Fibroblast,Establishment Of Skin Barrier (GO:0061436),-0.03432602062821388,0.13546529412269592,-0.1697913110256195,0.02457679926967765,12,0.0854845191988788
T cell,Immunoglobulin Mediated Immune Response (GO:0016064),0.04156506061553955,-0.16403479874134064,0.2055998593568802,0.027451771369593765,18,0.09345283870500005
Macrophage,B Cell Receptor Signaling Pathway (GO:0050853),-0.03964182361960411,0.15644438564777374,-0.19608621299266815,0.028392833910634057,31,0.09464277970211353
T cell,T Cell Activation (GO:0042110),0.03843003138899803,-0.15166142582893372,0.19009146094322205,0.03715182829884215,65,0.12131209240438252
T cell,Extracellular Matrix Organization (GO:0030198),0.03926920145750046,-0.15497323870658875,0.1942424476146698,0.04277154231733553,78,0.13686893541547368
T cell,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),0.03958466649055481,-0.15621836483478546,0.19580303132534027,0.045340533804761676,16,0.13773855462359857
T cell,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),0.039695776998996735,-0.156656876206398,0.19635266065597534,0.0454117330007106,17,0.13773855462359857
Endothelial,Establishment Of Skin Barrier (GO:0061436),-0.028559958562254906,0.11271018534898758,-0.14127014577388763,0.04562589621906703,12,0.13773855462359857
Fibroblast,Collagen Fibril Organization (GO:0030199),-0.029144268482923508,0.11501379311084747,-0.14415806531906128,0.051817651566273736,21,0.15289105218524177
T cell,T Cell Receptor Signaling Pathway (GO:0050852),0.038863345980644226,-0.15337137877941132,0.19223472476005554,0.05286107591713037,69,0.15289105218524177
Dendritic,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),0.03192681446671486,-0.1259969025850296,0.15792371332645416,0.05351186826483462,12,0.15289105218524177
Mast,Establishment Of Skin Barrier (GO:0061436),0.01733577996492386,-0.0684150978922844,0.08575087785720825,0.05592733219770514,12,0.15698900266022495
Endothelial,Collagen Fibril Organization (GO:0030199),-0.029500996693968773,0.11642376333475113,-0.14592476189136505,0.05967550055479678,21,0.16128145654199566
T cell,Myeloid Cell Differentiation (GO:0030099),0.039061836898326874,-0.1541547030210495,0.19321653246879578,0.06103106943245662,42,0.16128145654199566
Macrophage,T Cell Activation (GO:0042110),-0.029680045321583748,0.11713021248579025,-0.14681026339530945,0.061396831682830943,65,0.16128145654199566
Macrophage,T Cell Receptor Signaling Pathway (GO:0050852),-0.03194921091198921,0.12608513236045837,-0.1580343395471573,0.06148855530663584,69,0.16128145654199566
T cell,Endodermal Cell Differentiation (GO:0035987),0.0375305637717247,-0.1481115072965622,0.1856420636177063,0.06960819853419757,21,0.17938017523963887
Malignant,Neutrophil Migration (GO:1990266),-0.026804910972714424,0.10578400641679764,-0.1325889229774475,0.0706309440006078,35,0.17938017523963887
Macrophage,Erythrocyte Differentiation (GO:0030218),-0.03146639093756676,0.12418026477098465,-0.1556466519832611,0.07725029047388682,38,0.19312572618471704
T cell,Erythrocyte Differentiation (GO:0030218),0.037408050149679184,-0.14762811362743378,0.18503616750240326,0.08271495919274148,38,0.2036060533975175
B cell,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),-0.03225746750831604,0.12730182707309723,-0.15955929458141327,0.11689448933324553,12,0.28338058020180734
Macrophage,Collagen Fibril Organization (GO:0030199),-0.024959465488791466,0.09850040823221207,-0.12345987558364868,0.12001154764632303,21,0.2865947406479356
B cell,Immunoglobulin Mediated Immune Response (GO:0016064),-0.030337179079651833,0.11972343921661377,-0.15006062388420105,0.1282547832727096,18,0.2946731068279128
Endothelial,Extracellular Matrix Organization (GO:0030198),-0.022700263187289238,0.08958487957715988,-0.11228514462709427,0.12842070821645998,78,0.2946731068279128
Macrophage,Neutrophil Migration (GO:1990266),-0.02274174429476261,0.08974965661764145,-0.11249139904975891,0.12891948423721186,35,0.2946731068279128
Fibroblast,Extracellular Matrix Organization (GO:0030198),-0.023300018161535263,0.09195172786712646,-0.11525174975395203,0.1390375621285247,78,0.3105862810186576
Fibroblast,Neutrophil Migration (GO:1990266),-0.022502921521663666,0.08880645036697388,-0.11130937188863754,0.140811513975683,35,0.3105862810186576
T cell,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),0.03271562606096268,-0.12911079823970795,0.16182643175125122,0.14170499071476253,12,0.3105862810186576
B cell,Erythrocyte Differentiation (GO:0030218),-0.027609510347247124,0.10895874351263046,-0.13656824827194214,0.14623783566832807,38,0.31618991495854715
Macrophage,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),-0.02660590037703514,0.1049988716840744,-0.13160477578639984,0.14882424394440402,17,0.31749172041472856
Macrophage,Immunoglobulin Mediated Immune Response (GO:0016064),-0.024890372529625893,0.09822855144739151,-0.12311892211437225,0.153148959039666,18,0.32241886113613893
Macrophage,Sprouting Angiogenesis (GO:0002040),-0.02240638993680477,0.08842535316944122,-0.11083174496889114,0.16109434850089843,26,0.33474150337849023
Macrophage,Myeloid Cell Differentiation (GO:0030099),-0.024638915434479713,0.09723566472530365,-0.12187457829713821,0.17453278472922906,42,0.3580159686753417
B cell,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),-0.02737833932042122,0.1080467626452446,-0.13542510569095612,0.17919334858831815,16,0.36268424685843637
Macrophage,Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049),-0.020945226773619652,0.08265937119722366,-0.10360459983348846,0.18134212342921818,19,0.36268424685843637
B cell,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),-0.02685513347387314,0.1059819906949997,-0.13283711671829224,0.1894589366379249,17,0.37185565428613293
Macrophage,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),-0.02412175014615059,0.09519539773464203,-0.11931714415550232,0.1905760228216431,16,0.37185565428613293
B cell,Myeloid Cell Differentiation (GO:0030099),-0.023975497111678123,0.09461752325296402,-0.11859302222728729,0.2036551206194539,42,0.3925881843266581
B cell,T Cell Receptor Signaling Pathway (GO:0050852),-0.026299765333533287,0.10379014909267426,-0.1300899088382721,0.2062526382207306,69,0.3928621680394868
Endothelial,Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049),-0.022169506177306175,0.0874907597899437,-0.10966026782989502,0.211278184935211,19,0.3977001128192207
Fibroblast,Endodermal Cell Differentiation (GO:0035987),-0.025596166029572487,0.10101497173309326,-0.1266111433506012,0.2203470375953659,21,0.409947976921611
B cell,T Cell Activation (GO:0042110),-0.023612448945641518,0.09318481385707855,-0.11679726094007492,0.22866815201831403,65,0.42053913014862354
Malignant,Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049),-0.02183658443391323,0.08617597073316574,-0.10801255702972412,0.23564089321419324,19,0.42498003412075036
Macrophage,Establishment Of Skin Barrier (GO:0061436),-0.01574055105447769,0.06211893633008003,-0.07785949110984802,0.23852434167776715,12,0.42498003412075036
Macrophage,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),-0.024520143866539,0.0967666432261467,-0.1212867870926857,0.23905126919292208,12,0.42498003412075036
B cell,Endodermal Cell Differentiation (GO:0035987),-0.021738747134804726,0.08579090982675552,-0.1075296550989151,0.24383058768688382,21,0.428252613314692
Endothelial,Endodermal Cell Differentiation (GO:0035987),-0.02521323598921299,0.09950137883424759,-0.12471461296081543,0.24624525265594788,21,0.428252613314692
Fibroblast,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),-0.01737552136182785,0.06857122480869293,-0.08594674617052078,0.26816080869947934,59,0.4613519289453408
B cell,Sprouting Angiogenesis (GO:0002040),-0.019841469824314117,0.07830318063497543,-0.09814465045928955,0.28537803613684776,26,0.4831506996850675
Macrophage,Extracellular Matrix Organization (GO:0030198),-0.01581675373017788,0.062419354915618896,-0.07823611050844193,0.28687072793800883,78,0.4831506996850675
B cell,Neutrophil Migration (GO:1990266),-0.01776515133678913,0.07010860741138458,-0.08787375688552856,0.3045710127287893,35,0.5039271828877371
Endothelial,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),-0.014261478558182716,0.05628198757767677,-0.07054346799850464,0.3055058546256906,59,0.5039271828877371
Malignant,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),-0.017267875373363495,0.06814631819725037,-0.08541419357061386,0.3200782418028437,59,0.5225767213107653
Macrophage,Antibacterial Humoral Response (GO:0019731),-0.015096710063517094,0.05957809463143349,-0.0746748074889183,0.33278338309815525,20,0.5378317302596448
Fibroblast,Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049),-0.018764127045869827,0.07405124604701996,-0.09281536936759949,0.34176740616208834,19,0.5468278498593413
Mast,B Cell Receptor Signaling Pathway (GO:0050853),0.008169633336365223,-0.03224119171500206,0.04041082412004471,0.3543284107483876,31,0.5613123338588318
Fibroblast,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),0.010804233141243458,-0.04263834282755852,0.0534425750374794,0.3595027390039035,12,0.5639258651041624
Malignant,Collagen Fibril Organization (GO:0030199),-0.017410561442375183,0.06870938092470169,-0.08611994236707687,0.3654240512867114,21,0.5659689791548226
Macrophage,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),-0.01342791598290205,0.052992481738328934,-0.06642039865255356,0.3678798364506347,59,0.5659689791548226
Fibroblast,T Cell Activation (GO:0042110),-0.016604233533143997,0.06552758067846298,-0.08213181793689728,0.3944658005732554,65,0.601090743730675
Malignant,Extracellular Matrix Organization (GO:0030198),-0.01650277152657509,0.06512729823589325,-0.08163006603717804,0.4066872316912774,78,0.6138675195340036
B cell,Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049),-0.013901433907449245,0.05486109480261803,-0.06876252591609955,0.4298644308604699,19,0.6427879339969643
B cell,Extracellular Matrix Organization (GO:0030198),-0.015331458300352097,0.06050433591008186,-0.07583579421043396,0.4403633152743043,78,0.652390096702673
Fibroblast,Immunoglobulin Mediated Immune Response (GO:0016064),0.00840709824115038,-0.0331784151494503,0.04158551245927811,0.45219938123279824,18,0.6569873170177475
Mast,Endodermal Cell Differentiation (GO:0035987),0.005037821363657713,-0.019881872460246086,0.024919694289565086,0.4533927965370598,21,0.6569873170177475
Malignant,Endodermal Cell Differentiation (GO:0035987),-0.01861809752881527,0.07347510010004044,-0.09209319949150085,0.4557849511810623,21,0.6569873170177475
Mast,Neutrophil Migration (GO:1990266),0.004048515576869249,-0.015977557748556137,0.0200260728597641,0.4626011413286393,35,0.6608587733266276
Macrophage,Endodermal Cell Differentiation (GO:0035987),-0.012099738232791424,0.0477512888610363,-0.0598510280251503,0.4670417419478763,21,0.661298041696108
B cell,B Cell Receptor Signaling Pathway (GO:0050853),-0.014571255072951317,0.057504478842020035,-0.0720757320523262,0.48338698095354193,31,0.6784378680049711
B cell,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),-0.012349923141300678,0.04873799532651901,-0.061087917536497116,0.4891803253306658,59,0.6805987135035351
B cell,Keratinocyte Differentiation (GO:0030216),0.007238668389618397,-0.02856711857020855,0.03580578789114952,0.5281634829653095,31,0.7243816767475275
Mast,Sprouting Angiogenesis (GO:0002040),-0.01608228124678135,0.06346766650676727,-0.07954994589090347,0.5337968933809945,26,0.7243816767475275
Mast,Erythrocyte Differentiation (GO:0030218),-0.016835184767842293,0.06643880903720856,-0.0832739919424057,0.5342314866013016,38,0.7243816767475275
Macrophage,Epidermis Development (GO:0008544),-0.00944687519222498,0.037281427532434464,-0.04672830179333687,0.5499948425739547,49,0.739488863964981
Mast,Immunoglobulin Mediated Immune Response (GO:0016064),-0.018724296241998672,0.07389362901449203,-0.092617928981781,0.5673264103107181,18,0.7555211120839501
Endothelial,Neutrophil Migration (GO:1990266),-0.011888395994901657,0.04691678285598755,-0.058805178850889206,0.5713628410134872,35,0.7555211120839501
Endothelial,Myeloid Cell Differentiation (GO:0030099),-0.014834636822342873,0.05854404345154762,-0.07337868213653564,0.5781204277683822,42,0.7581907249421407
Endothelial,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),0.0051693180575966835,-0.02040006034076214,0.025569379329681396,0.5908341830037893,12,0.7685647908992381
Mast,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),-0.01602235622704029,0.06323074549436569,-0.07925309985876083,0.597697610183163,16,0.7712227228169846
Fibroblast,Myeloid Cell Differentiation (GO:0030099),-0.013605918735265732,0.05369498208165169,-0.06730090081691742,0.6133872161636567,42,0.7851356366894805
Endothelial,T Cell Activation (GO:0042110),-0.011517703533172607,0.04545358940958977,-0.056971292942762375,0.6227004550194654,65,0.7907307365326545
Endothelial,Sprouting Angiogenesis (GO:0002040),-0.012175031006336212,0.04804792255163193,-0.06022295355796814,0.6325447312973371,26,0.7969067480911334
Mast,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),-0.001370214275084436,0.005407612305134535,-0.006777826696634293,0.6581559626809121,59,0.8226949533511402
Mast,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),-0.015429052524268627,0.06088927760720253,-0.07631833106279373,0.6749752018641405,12,0.8355518042361926
Mast,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),-0.014528520405292511,0.05733545497059822,-0.07186397910118103,0.6836893981362807,17,0.8355518042361926
