"","Malignant","B cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","T cell"
"C3N-03015",0.573456549059365,0.051600431556355,0.0150408327465274,0.144449640345324,0.140540113670216,0.0625119556826764,0.000131017566481268,0.0122694593730544
"C3L-00987",0.592416934085412,1.6139558832219e-07,0.0203121650535699,0.176282509366715,0.198804449481123,0.00342320117396573,0.000107860487184114,0.00865271895644241
"C3N-03456",0.709086369653201,1.2039832832909e-07,0.01137183852384,0.170144860878022,0.103617026682887,1.6635381838028e-06,0.000165188015558823,0.00561293230997865
"C3N-04278",0.598955113873215,0.00884309918036795,0.0242889416158525,0.158260656324416,0.155385584625404,0.0391370456746091,0.00048579168175713,0.0146437670243778
"C3N-03490",0.679096988359019,1.89869818124504e-07,0.0208665136262477,0.170861284949882,0.117149956642646,0.0072526211793046,7.24705912227197e-05,0.00469997478185965
"C3N-01858",0.395826152173657,0.00128365563978107,0.0398537070865193,0.368921555967452,0.148465960104872,0.00887224588953722,0.000105289792288492,0.0366714333458931
"C3N-03664",0.636482460093081,1.91782117554568e-07,0.0156187426149166,0.149213335807797,0.184856795838648,0.00325355585519737,0.000866937956960121,0.00970798005128255
"C3N-03488",0.578964053092335,7.54466220216126e-08,0.00081837922516026,0.0894360139911214,0.323095850407068,0.00719377968920054,0.000491529484874807,3.18663617922105e-07
"C3N-02279",0.510646902847014,3.06197145896634e-07,0.0300706937932225,0.280219661849793,0.142951072374026,0.0180282812608084,0.000135094433217738,0.0179479872447732
"C3N-04611",0.668483554459179,2.24666726363553e-06,0.0271641337749109,0.126993964220589,0.120585072808173,0.0116493154694979,0.00825755228858046,0.0368641603118055
"C3N-03889",0.451423128424549,0.0148889757684368,0.00157381839928463,0.136776722686707,0.362596993402427,0.0324211812024182,0.000316421936789988,2.75817938706096e-06
"C3N-02925",0.474756376335389,0.0970853399841947,0.0275701161370376,0.122476949552778,0.121441783060674,0.0900720508982636,0.000343134031650496,0.0662542500000121
"C3N-03878",0.55267292227762,0.00119037148034745,0.0158904099408873,0.164352255519874,0.2138456240636,0.0319711452886473,0.000222752029627951,0.0198545193993964
"C3N-03933",0.553882571136141,1.78643231058094e-07,0.049260649525247,0.190038101298307,0.14577771849423,0.0207706158777535,0.00443812390091004,0.0358320411241806
"C3N-03487",0.44254332551731,6.42592107271472e-07,0.0327583596947084,0.148286089649279,0.248223970728141,0.0979785598417499,0.000231573483941577,0.0299774784927637
"C3L-04354",0.430501397485793,0.0176080250346997,0.0430511670808251,0.234762079795045,0.19700860587243,0.0389376407081602,0.00136406329447908,0.0367670207285687
"C3L-01237",0.508075823943343,2.27447777530753e-07,0.00937275936486492,0.128864064899643,0.338823489207945,0.0147285986561241,0.00013246239467567,2.57408562682851e-06
"C3N-02693",0.71138046973915,2.37433255832303e-07,0.0176510230702293,0.193788111786709,0.0443668581363639,0.00892588054350851,0.00053619164941506,0.023351227641368
"C3N-01758",0.458771306515748,0.00393164302306379,0.0407605674828075,0.27095463405774,0.177171431355564,0.00999238818082779,0.00197190839821683,0.0364461209860321
"C3N-03612",0.447942805690792,1.00785594074506e-06,0.0361319506679979,0.238689056970921,0.211465771764455,0.0282840192360216,0.00290827190913006,0.0345771159047419
"C3N-01947",0.364224653713947,0.000712052784470262,0.0619692849478351,0.271703030733219,0.19646420554024,0.067341786162048,0.000644973418094066,0.0369400127001472
"C3N-03045",0.640410111422161,0.00592532890888459,0.0144711353525511,0.157531299978634,0.177387467569455,0.00175726687634346,0.000382062878963119,0.00213532701300785
"C3N-01944",0.434716256652991,2.52681852558927e-07,0.0215093255647871,0.223716056715178,0.306522612516844,0.00436555484677371,3.317884613634e-06,0.00916662313696048
"C3N-01757",0.674714538511835,0.0418491627638298,0.0126376521280515,0.136595592993652,0.0889840541802551,0.0387958695090135,0.000819610209867174,0.00560351970349641
"C3N-01948",0.693612094767807,0.00205730450313512,0.0444153867216,0.165946533689149,0.0412477527677243,0.014974550996528,0.0024700829088297,0.0352762936452269
"C3L-00999",0.430332129884443,0.0120619368893967,0.0278551689482008,0.159952096556815,0.297270221927486,0.0496526588259609,0.00147924550751234,0.0213965414601858
"C3N-03433",0.6023147675117,0.00971801746721683,0.0219945508015245,0.177622692457118,0.135123534242411,0.0298406772285286,0.000211878966347032,0.0231738813251546
"C3N-02275",0.62431104570596,0.00382756736389307,0.0184534288135741,0.16276570614967,0.0806768782770315,0.0745519941771051,1.94091898571555e-06,0.035411438593781
"C3N-03841",0.492467285329192,0.101095964423132,0.0503283161683342,0.111585283394598,0.100010116912051,0.0902671753364182,4.89744462298363e-07,0.0542453686918126
"C3N-01756",0.586635589635316,0.00165405529570193,0.0170573025890341,0.188318361058415,0.19639700758817,0.00105556865552816,0.0001059340180299,0.00877618115980571
"C3N-03011",0.588918060138387,0.00177974931282948,0.0527615030773514,0.227557036761564,0.0841149938540966,0.0172140083491222,1.03735872535623e-06,0.0276536111479235
"C3N-03785",0.741011720509191,8.59431846232954e-08,0.0133127956139891,0.182097459937382,0.0382749430945082,7.13602130775624e-07,5.31092221632525e-07,0.0253017502073924
"C3N-04273",0.668505383553155,0.00209401063089724,0.0297098049226596,0.227562644175591,0.0543142465007971,0.00663401141601754,0.000362123470043161,0.010817775330839
"C3N-04277",0.675292074554597,5.06815777297707e-07,0.0153089608573979,0.208855490727334,0.0871844838258483,0.00282130003470912,0.00033679069647392,0.0102003924878626
"C3L-04791",0.473114487121331,0.0533065631698263,0.0360740159296862,0.180744139688609,0.187031623901358,0.0449375150407067,0.000225312391922553,0.0245663427565592
"C3N-03028",0.505857835340236,0.00365086456340082,0.026764191619173,0.188084428253361,0.213579267005816,0.0457722757618511,0.000503678706462013,0.0157874587496995
"C3N-01945",0.53499704582491,0.0226177708883601,0.0137642370035681,0.200748666566765,0.161490796578603,0.0637640611045224,4.28123294693631e-05,0.0025746097038028
"C3N-04152",0.742878526665054,0.00131872899943952,0.0300503250586792,0.159921512684728,0.0439010786844791,0.00218446737052475,0.000672110727669209,0.0190732498094268
"C3L-02617",0.633325956187986,0.000274027067182442,0.030757299638284,0.196534337396189,0.108000610773086,0.0144026446498795,0.000519218181927826,0.0161859061054649
"C3N-03008",0.661736901211577,9.96707118846581e-08,0.0108645114489376,0.126898804102637,0.200060336761839,1.43894068595743e-06,0.000114454506208642,0.000323453357401771
"C3L-01138",0.746673669243986,0.0065838476577116,0.0210560552437301,0.13768365875376,0.0516145798799808,0.00868656661019445,0.00429661055725246,0.0234050120533847
"C3N-03619",0.892747951949443,2.68616888606986e-06,0.0146235289027996,0.031256186144569,0.0372011066954141,0.00459991804088461,0.00156199775954359,0.0180066243384604
"C3N-00871",0.585937320003536,9.11372900000249e-08,0.00942158384040034,0.161803730013005,0.235511126829068,0.00636788430630515,0.000259326524511967,0.000698937345883613
"C3N-00519",0.417767427624416,0.0862175692533486,0.0222203975793928,0.199068351144398,0.182442663039582,0.0727033662605347,0.000521161920680572,0.0190590631776475
"C3N-00828",0.610274037840564,0.0485240489658048,0.0298221155476309,0.148603183350331,0.129318363446133,0.0157639847703672,0.000576376969054192,0.0171178891101147
"C3N-00498",0.646478973992076,0.0127689273891089,0.0146329213447679,0.165279486708556,0.155314063468813,0.00352680285270099,0.000258449167353549,0.00174037507662427
"C3N-00846",0.336860455825281,0.0111296981220728,0.0668018448104456,0.209348785460275,0.24639022984222,0.055177789988616,0.0010552492218974,0.0732359467291932
"C3N-01620",0.480306229624626,3.93545913279705e-07,0.0237396479633572,0.20163308531474,0.284697449545682,0.000569584690500166,0.00086391112111551,0.00818969819406654
"C3N-00829",0.619782124199546,4.69722564770055e-08,0.0353945850355886,0.171616049837652,0.147265936802629,0.024078235902787,6.19608207042297e-07,0.00186240164133398
"C3N-00822",0.651274098658179,1.23938283760351e-07,0.0297765219847054,0.140676547111335,0.168688647937969,0.00840617413187162,8.39592982020849e-05,0.00109392693945377
"C3N-03012",0.580638835739418,1.74034822553151e-07,1.2490370326061e-06,0.0940234151822381,0.31355097957812,0.0117782119971504,6.85010041103493e-06,2.84330807684564e-07
"C3N-01859",0.55393446029831,0.0749606562745233,0.0444159776833024,0.164583304049391,0.0678742084795319,0.0686337793433355,0.000208066729266149,0.02538954714234
